dept,number,name,section,term,credits,mode,instructor
AAS,201,Introduction to Afro-American Studies,Section 001 (LEC),FA 2020,3,Online,"Kelow-Bennett, Lydia"
AAS,202,Introduction to African Diasporic Studies,Section 011 (SEM),FA 2020,3,Hybrid,"Gunning,Sandra R Instructor: Askew,Kelly M"
AAS,225,Intermediate African Languages I,Section 001 (REC) Yoruba,FA 2020,4,Online,"Ayoola,Gabriel"
AAS,250,"Law, Race, and the Historical Process, I",Section 001 (LEC),FA 2020,3,Hybrid,"Woods,Ronald C"
AAS,254,The History and Evolution of Hip Hop Culture,Section 001 (LEC),FA 2020,4,Online,"Ward,Stephen M"
AAS,290,Selected Topics in Black World Studies,Section 003 (SEM) Hoop Dreams: Race and Basketball in America Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,2,Person,"Ellsworth,Scott A; homepage"
AAS,290,Selected Topics in Black World Studies,Section 005 (SEM) The Black Memoir Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,2,Person,"Boisseron,Benedicte M"
AAS,290,Selected Topics in Black World Studies,Section 008 (SEM) Democracy and Debate Across LSA,FA 2020,2,Online,"Dillard,Angela Denise"
AAS,309,Global Health in African Contexts,Section 001 (SEM),FA 2020,3,Person,"Ashforth,Adam Philip"
AAS,322,"Introduction to Environment Politics:  Race, Class, and Gender","Section 001 (LEC) Introduction to Environmental Politics: Race, Class and Gender",FA 2020,4,Online,"Adunbi,Omolade"
AAS,331,The World of the Black Child,Section 001 (LEC),FA 2020,3,Person,"McLoyd,Vonnie C"
AAS,346,Literature in African History,Section 001 (SEM),FA 2020,3,Hybrid,"Peterson,Derek R"
AAS,354,Race and Identity in Music,Section 001 (SEM),FA 2020,3,Online,"Andre,Naomi A"
AAS,358,Topics in Black World Studies,Section 001 (SEM) Black Queer Historical Inquiries,FA 2020,3,Online,"Jones, Jennifer Dominique"
AAS,358,Topics in Black World Studies,Section 003 (SEM) African Literature,FA 2020,3,Online,"Mpesha,Nyambura"
AAS,358,Topics in Black World Studies,Section 011 (SEM) Performing Arts and Power in Africa,FA 2020,3,Online,"Ampene,Kwasi"
AAS,358,Topics in Black World Studies,Section 016 (SEM) Religion in Afro-Atlantic History,FA 2020,3,Hybrid,"Deese,Adrian"
AAS,366,Music of Africa,Section 001 (LEC),FA 2020,3,Online,"Ampene,Kwasi"
AAS,407,Looking at African Things,Section 001 (SEM),FA 2020,3,Person,"Doris,David T"
AAS,408,African Economies: Social and Political Settings,Section 001 (SEM) African Economies,FA 2020,3,Online,"Stein,Howard"
AAS,439,Creole Languages and Caribbean Identities,Section 001 (LEC),FA 2020,3,Hybrid,"Baptista,Marlyse"
AAS,444,"Introduction to Caribbean Societies and Cultures, I",Section 001 (LEC),FA 2020,3,Person,"Owusu,Maxwell K"
AAS,458,Issues in Black World Studies,Section 002 (SEM) Black Men & Masculinity,FA 2020,3,Hybrid,"Young Jr,Alford A"
AAS,458,Issues in Black World Studies,Section 005 (SEM) DAAS IN ACTION,FA 2020,3,Online,"Walker,Jessica"
AAS,474,The Archaeology of Nubia,Section 001 (LEC),FA 2020,3,Hybrid,"Emberling, Geoff"
AAS,495,Senior Seminar,Section 006 (SEM) Mass Movements and Mass Incarcerations,FA 2020,4,Hybrid,"Pearson, Heath"
AAS,558,Seminar in Black World Studies,Section 001 (SEM) American Carceral State: Origins and Implications,FA 2020,3,Online,"Thompson, Heather Ann"
AAS,558,Seminar in Black World Studies,Section 003 (SEM),FA 2020,3,Person,"Stein,Howard"
AERO,101,Heritage and Values of the United States Air Force I,Section 001 (LEC),FA 2020,Credit).,Hybrid,"Yau,James Dow-Jiun"
AERO,201,Team and Leadership Fundamentals I,Section 001 (LEC),FA 2020,credit).,Hybrid,"Penry,Jeremy Daniel"
AERO,310,Leading People and Effective Communication I,Section 001 (SEM),FA 2020,credit).,Online,"Wilkinson,John Cole"
AERO,410,National Security Affairs/Preparation for Active Duty I,Section 001 (SEM),FA 2020,Credit).,Hybrid,"Smith,Melissa R"
AERO,101,Heritage and Values of the United States Air Force I,Section 002 (LEC),FA 2020,Credit).,Hybrid,"Kober,Peter Nicholas"
AERO,201,Team and Leadership Fundamentals I,Section 002 (LEC),FA 2020,credit).,Hybrid,"Penry,Jeremy Daniel"
AERO,310,Leading People and Effective Communication I,Section 002 (SEM),FA 2020,credit).,Online,"Wilkinson,John Cole"
AERO,410,National Security Affairs/Preparation for Active Duty I,Section 002 (SEM),FA 2020,Credit).,Hybrid,"Smith,Melissa R"
AEROSP,201,Introduction to Aerospace Engineering,Section 001 (LEC),FA 2020,credit).,Online,"Cutler,James W"
AEROSP,205,Introduction to Aerospace Engineering Systems,Section 020 (LEC),FA 2020,credit).,Person,"Washabaugh,Peter D"
AEROSP,225,Introduction to Gas Dynamics,Section 001 (LEC),FA 2020,credit).,Online,"Powell, Ken"
AEROSP,285,Aerospace Engineering Seminar,Section 002 (REC),FA 2020,credit).,Online,"Halow,George F"
AEROSP,305,Aerospace Engineering Laboratory I,Section 001 (LEC),FA 2020,credit).,Online,"Smith,Timothy B"
AEROSP,325,Aerodynamics,Section 001 (LEC),FA 2020,credit).,Online,"Duraisamy, Karthik"
AEROSP,343,Spacecraft Dynamics,Section 001 (LEC),FA 2020,credit).,Online,"Girard,Anouck Renee"
AEROSP,470,Control of Aerospace Vehicles,Section 001 (LEC),FA 2020,credit).,Online,"Kolmanovsky,Ilya Vladimir"
AEROSP,495,Special Topics in Aerospace Engineering,Section 001 (LEC) Fundamentals of Aerospace Computing,FA 2020,credit).,Online,"Jeannin,Jean-Baptiste"
AEROSP,495,Special Topics in Aerospace Engineering,Section 010 (LEC) Systems Engineering Leadership,FA 2020,credit).,Hybrid,"Halow,George F"
AEROSP,513,Solid&Struct Mech I,Section 001 (LEC),FA 2020,credit).,Online,"Shaw,John A"
AEROSP,516,Mech Composites,Section 881 (LEC),FA 2020,credit).,Online,"Sodano,Henry"
AEROSP,520,Compressible Flow I,Section 881 (LEC),FA 2020,credit).,Online,"Gamba,Mirko"
AEROSP,523,Computer Fluid Dynamics I,Section 001 (LEC),FA 2020,credit).,Online,"Fidkowski,Krzysztof J"
AEROSP,526,Hypersonic Aerothermodynamics,Section 001 (LEC),FA 2020,credit).,Online,"Roe,Philip L"
AEROSP,545,Aeromechanics of Rotary Wing Vehicles,Section 001 (LEC),FA 2020,credit).,Online,"Friedmann,Peretz P"
AEROSP,574,Introduction to Space Physics,Section 001 (LEC),FA 2020,credit).,Online,"Jia,Xianzhe"
AEROSP,585,Aerospace Engineering Seminar,Section 001 (SEM),FA 2020,credit).,Online,"Waas, Anthony"
AEROSP,205,Introduction to Aerospace Engineering Systems,Section 010 (LEC),FA 2020,credit).,Person,"Washabaugh,Peter D"
AEROSP,215,Introduction to Solid Mechanics and Aerospace Structures,Section 001 (LEC),FA 2020,credit).,Online,"Inman,Daniel J"
AEROSP,285,Aerospace Engineering Seminar,Section 001 (SEM),FA 2020,credit).,Online,"Halow,George F"
AEROSP,290,Directed Study,Section 001 (IND),FA 2020,credit).,Person,
AEROSP,315,Aerospace Structure,Section 001 (LEC),FA 2020,credit).,Online,"Sundararaghavan, Veera"
AEROSP,335,Aerospace Propulsn,Section 001 (LEC),FA 2020,credit).,Online,"Driscoll,James F"
AEROSP,405,Aero Eng Lab II,Section 001 (LEC),FA 2020,credit).,Online,"Smith,Timothy B"
AEROSP,481,Aircraft Design,Section 001 (LEC),FA 2020,credit).,Online,"Martins,Joaquim R R A"
AEROSP,495,Special Topics in Aerospace Engineering,Section 003 (LEC) Engineering and Mission Readiness of Suborbital Space Payloads,FA 2020,credit).,Online,"Gamba,Mirko"
AEROSP,495,Special Topics in Aerospace Engineering,Section 810 (LEC),FA 2020,credit).,Online,"Halow,George F"
AEROSP,516,Mech Composites,Section 001 (LEC),FA 2020,credit).,Hybrid,"Sodano,Henry"
AEROSP,520,Compressible Flow I,Section 001 (LEC),FA 2020,credit).,Hybrid,"Gamba,Mirko"
AEROSP,522,Viscous Flow,Section 001 (LEC),FA 2020,credit).,Online,"Bernal,Luis P"
AEROSP,523,Computer Fluid Dynamics I,Section 002 (LEC),FA 2020,credit).,Online,"Capecelatro,Jesse Samuel"
AEROSP,535,Rocket Propulsion,Section 001 (LEC),FA 2020,credit).,Online,"Jorns,Benjamin Alexander"
AEROSP,550,Linear Systems Theory,Section 001 (LEC),FA 2020,credit).,Online,"Gillespie, Brent"
AEROSP,584,Navigation and Guidance of Aerospace Vehicles,Section 001 (LEC),FA 2020,credit).,Online,"Bernstein,Dennis S"
AEROSP,597,Fundamentals of Space Plasma Physics,Section 001 (LEC),FA 2020,credit).,Online,"Gombosi,Tamas I"
AES,241,"Exercise, Nutrition and Weight Control",Section 001 (LEC),FA 2020,credit).,Hybrid,"Bodary,Peter F"
AES,241,"Exercise, Nutrition and Weight Control",Section 021 (LEC),FA 2020,credit).,Online,
ALA,101,A User's Guide to the Liberal Arts,Section 001 (LEC),FA 2020,1,Online,"Hoffman,Sara Lynn"
ALA,102,Michigan Community Scholars Program:  The Student in the University,Section 001 (LEC),FA 2020,1,Online,"Woods,Wendy Ann"
ALA,104,Introduction to Research,Section 002 (REC),FA 2020,1,Hybrid,"Olsen,Laura J"
ALA,104,Introduction to Research,Section 011 (REC),FA 2020,1,Online,"Olsen,Laura J"
ALA,104,Introduction to Research,Section 013 (REC),FA 2020,1,Online,"Olsen,Laura J"
ALA,105,Digital Research:  Critical Concepts and Strategies,Section 002 (LAB) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Niehof,Jamie Marie"
ALA,106,Health Sciences Scholars Program:  Perspectives on Health and Health Care,Section 001 (LEC),FA 2020,3,Online,"Eickmeyer,Adam Bruce"
ALA,107,Women in Science and Engineering Residence Program Seminar,Section 002 (SEM),FA 2020,1,Hybrid,"Turman,Natasha"
ALA,107,Women in Science and Engineering Residence Program Seminar,Section 004 (SEM),FA 2020,1,Online,"Turman,Natasha"
ALA,115,The Financially Savvy Student,Section 002 (LEC),FA 2020,1,Online,"Mank,John H"
ALA,122,Intergroup Dialogues,Section 001 (SEM),FA 2020,2,Online,"Hwang (he/him/his), Scott"
ALA,125,Positioning Yourself for a Successful Internship,Section 002 (LEC) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Silbert,Kate"
ALA,171,Making the Most of Michigan,Section 001 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 003 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 005 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 007 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 009 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 011 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 013 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,175,BLI Leadership Lab,Section 001 (SEM) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Haque,Fatema"
ALA,175,BLI Leadership Lab,Section 003 (SEM) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Haque,Fatema"
ALA,210,Defining Critical Global Issues,Section 001 (LEC),FA 2020,2,Online,"Peters,Benjamin"
ALA,220,Foundations of Intergroup Relations,Section 002 (SEM),FA 2020,3,Online,"Hicks (she/her/hers), Stephanie"
ALA,220,Foundations of Intergroup Relations,Section 004 (SEM),FA 2020,3,Online,
ALA,225,Undergraduate Internship,Section 001 (SEM),FA 2020,1,Online,"Barron, Paul"
ALA,240,Living Well in College and Beyond,Section 001 (LEC),FA 2020,2,Online,"Carbone,Kellie"
ALA,240,Living Well in College and Beyond,Section 003 (LEC),FA 2020,2,Online,"Christiaens,Roman"
ALA,256,Innovator's Toolkit,Section 001 (LEC),FA 2020,3,Online,"Ludwig,Kenneth"
ALA,264,Interdisciplinary Topics in ALA,Section 002 (LEC) Democracy & Debate Across LSA,FA 2020,2,Online,"Dillard,Angela Denise"
ALA,270,Applied Liberal Arts Topics,Section 001 (LEC),FA 2020,3,Online,
ALA,270,Applied Liberal Arts Topics,Section 005 (LEC) Intergroup Dialog Facilitation,FA 2020,2,Online,"Hwang (he/him/his), Scott"
ALA,292,Argumentation and Debate,Section 001 (LEC),FA 2020,3,Person,"Moshin,Jamie Eric"
ALA,320,Processes of Intergroup Dialogues Facilitation,Section 001 (SEM) Meets 09/04/20 - 10/07/20. (Drop/Add deadline=09/21/20.).,FA 2020,2,Online,"Kaplowitz (she/her/hers), Donna Rich Instructor: Thompson (she/her), Monita"
ALA,321,Practicum in Facilitating Intergroup Dialogues,Section 001 (SEM),FA 2020,3,Online,"Hwang (he/him/his), Scott"
ALA,323,IGR Directed Study,Section 001 (IND),FA 2020,4,Online,"Hwang (he/him/his), Scott"
ALA,325,Putting Your Education to Work,Section 001 (REC) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Silbert,Kate"
ALA,350,Predicting the Future,Section 001 (LEC),FA 2020,3,Online,"Gibelyou,Cameron Michael"
ALA,470,Applied Liberal Arts Topics,Section 001 (LEC) Organizing for Global Justice,FA 2020,2,Hybrid,"Wiseman,Ashley"
ALA,472,Advanced Leadership and Facilitation in Community,Section 001 (SEM),FA 2020,3,Online,"Gurin,Patricia Y"
ALA,101,A User's Guide to the Liberal Arts,Section 002 (LEC),FA 2020,2,Online,"Hoffman,Sara Lynn"
ALA,104,Introduction to Research,Section 001 (REC),FA 2020,1,Hybrid,"Olsen,Laura J"
ALA,104,Introduction to Research,Section 003 (REC),FA 2020,1,Hybrid,"Olsen,Laura J"
ALA,104,Introduction to Research,Section 012 (REC),FA 2020,1,Online,"Olsen,Laura J"
ALA,105,Digital Research:  Critical Concepts and Strategies,Section 001 (LAB) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Peters,Amanda R"
ALA,105,Digital Research:  Critical Concepts and Strategies,Section 004 (LAB) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Deeke, Alex"
ALA,107,Women in Science and Engineering Residence Program Seminar,Section 001 (LEC),FA 2020,1,Hybrid,"Turman,Natasha"
ALA,107,Women in Science and Engineering Residence Program Seminar,Section 003 (SEM),FA 2020,1,Hybrid,"Turman,Natasha"
ALA,115,The Financially Savvy Student,Section 001 (LEC),FA 2020,1,Online,"Bhaumik,Kristin Marie"
ALA,118,"Programs, Information and People",Section 001 (LEC),FA 2020,4,Online,"Oney, Steve"
ALA,125,Positioning Yourself for a Successful Internship,Section 001 (LEC) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Silbert,Kate"
ALA,170,Applied Liberal Arts Topics,Section 010 (LEC) Whirlwind Tour of the Liberal Arts,FA 2020,3,Online,"McKay,Timothy A Instructor: Curzan,Anne Leslie"
ALA,171,Making the Most of Michigan,Section 002 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 004 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 006 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 008 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 010 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 012 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,171,Making the Most of Michigan,Section 014 (SEM) Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).,FA 2020,1,Online,"Gurin,Patricia Y"
ALA,175,BLI Leadership Lab,Section 002 (SEM) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Haque,Fatema"
ALA,206,"Health Career Mentorship, Experiences, and Reflections",Section 001 (LEC),FA 2020,1,Online,"Walton,Kyle"
ALA,220,Foundations of Intergroup Relations,Section 001 (SEM),FA 2020,3,Online,"Hicks (she/her/hers), Stephanie"
ALA,220,Foundations of Intergroup Relations,Section 003 (SEM),FA 2020,3,Online,
ALA,223,Entrepreneurial Creativity,Section 001 (LEC),FA 2020,3,Online,"Fretz,Eric B"
ALA,225,Undergraduate Internship,Section 002 (SEM),FA 2020,1,Online,"Barron, Paul"
ALA,240,Living Well in College and Beyond,Section 002 (LEC),FA 2020,2,Online,"Jansen,Janet"
ALA,240,Living Well in College and Beyond,Section 004 (LEC),FA 2020,2,Online,"Pehlke,Joy Elizabeth"
ALA,264,Interdisciplinary Topics in ALA,"Section 001 (LEC) Obesity: The Science, Culture, and Politics of Fatness in America",FA 2020,3,Online,"Finn, Margot"
ALA,264,Interdisciplinary Topics in ALA,Section 222 (LEC) Discerning Truth,FA 2020,2,Online,"Lampe,Clifford A"
ALA,270,Applied Liberal Arts Topics,"Section 004 (LEC) Fake News, Lies, and Propaganda: How to Sort Fact from Fiction Meets 08/31/20 - 10/16/20. (Drop/Add deadline=09/14/20.).",FA 2020,1,Online,"Oehrli, Jo Angela"
ALA,290,Public Speaking in the Digital Age,Section 001 (LEC),FA 2020,3,Person,"Moshin,Jamie Eric"
ALA,315,Popular Science,Section 001 (LEC),FA 2020,3,Online,"Gibelyou,Cameron Michael"
ALA,320,Processes of Intergroup Dialogues Facilitation,Section 002 (SEM) Meets 11/06/20 - 12/09/20. (Drop/Add deadline=11/12/20.).,FA 2020,2,Online,"Fisher (he/him/his), Roger Instructor: Schoem (she/her/hers), Shana"
ALA,322,Advanced Practicum in Intergroup Relations,Section 002 (LAB),FA 2020,4,Online,"Hwang (he/him/his), Scott"
ALA,324,Facilitation for Effective Leadership,Section 001 (SEM),FA 2020,3,Online,"Cole,Elizabeth Ruth"
ALA,325,Putting Your Education to Work,Section 002 (REC) Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Silbert,Kate"
ALA,370,Applied Liberal Arts Topics,Section 002 (LEC) Measure of Our Meals,FA 2020,3,Online,"Finn, Margot"
ALA,471,Leadership and Facilitation in Community Building,Section 001 (SEM),FA 2020,3,Online,"Gurin,Patricia Y"
AMCULT,102,First Year Seminar in American Studies,Section 001 (SEM) Food and Gender in Asian American Communities,FA 2020,3,Online,"Lawsin,Emily P"
AMCULT,103,First Year Seminar in American Studies,Section 004 (SEM) American Culture in 13 Songs,FA 2020,3,Online,"Desai,Manan R"
AMCULT,103,First Year Seminar in American Studies,Section 007 (SEM) African American Foodways,FA 2020,3,Online,"Walker,Jessica"
AMCULT,204,Themes in American Culture,Section 002 (LEC) Introduction to Latinx Literature,FA 2020,3,Hybrid,"Valella,Daniel"
AMCULT,204,Themes in American Culture,Section 004 (LEC) Asian Americans and Asian Diaspora in Film and Media,FA 2020,3,Online,"Lee,Joo"
AMCULT,204,Themes in American Culture,"Section 006 (LEC) Games, Narratives, Cultures",FA 2020,3,Online,"Bushner,Anthony James"
AMCULT,204,Themes in American Culture,Section 008 (REC) Superpowers and Debilities,FA 2020,3,Online,"Orr,Ittai"
AMCULT,204,Themes in American Culture,Section 010 (SEM) Who Were the Puritans? The Story of America?s First Religious Fundamentalists,FA 2020,3,Hybrid,"Juster,Susan M"
AMCULT,213,Introduction to Latina/o Studies,Section 002 (LEC),FA 2020,4,Online,"La Fountain-Stokes,Lawrence M"
AMCULT,215,Introduction to Arab-American Studies,Section 001 (LEC),FA 2020,4,Online,"Stiffler,Matthew William"
AMCULT,222,Elementary Ojibwe I,Section 001 (REC),FA 2020,3,Online,"Pitawanakwat,Alphonse Henry"
AMCULT,225,"Space, Story and the American Self",Section 001 (LEC),FA 2020,4,Online,"Zaborowska,Magdalena J"
AMCULT,240,Introduction to Women's and Gender Studies,Section 001 (LEC),FA 2020,4,Online,"Karem Albrecht, Charlotte"
AMCULT,270,Religion in America,Section 001 (LEC),FA 2020,4,Online,"Penick,Alyssa Grace"
AMCULT,284,Sickness and Health in Society: 1492 to the Present,Section 001 (LEC),FA 2020,4,Online,"Pernick,Martin S"
AMCULT,289,The United States in the World,Section 011 (LEC),FA 2020,3,Online,"Shin,Kin-Yee Ian"
AMCULT,301,Topics in American Culture,Section 001 (LEC) Chicana Feminisms,FA 2020,3,Person,
AMCULT,301,Topics in American Culture,Section 003 (LEC) The Practice of Public History,FA 2020,2,Hybrid,"Parker,Gregory"
AMCULT,304,American Immigration,Section 001 (LEC),FA 2020,4,Person,"Pedraza,Silvia"
AMCULT,310,Topics in Ethnic Studies,Section 002 (LEC) Law and Social Policy,FA 2020,3,Person,"Kawar,Leila C"
AMCULT,311,American Culture and the Humanities,Section 002 (LEC) Transgender American Histories,FA 2020,3,Online,"Larson,Scott"
AMCULT,311,American Culture and the Humanities,Section 005 (LEC) AfroAsian Cultures and Media,FA 2020,3,Online,"Lee,Joo"
AMCULT,311,American Culture and the Humanities,Section 007 (LEC) Empowering Community through Art,FA 2020,3,Hybrid,"Gordon-Gurfinkel,Deborah Mae"
AMCULT,311,American Culture and the Humanities,Section 009 (LEC) The Theatre of US Women's Liberation,FA 2020,3,Online,"Fitzgerald,Jason"
AMCULT,321,Detroit Initiative,Section 001 (LAB) Community Research,FA 2020,4,Person,"Fabian,Cathryn"
